,order_number,order_date,ship_date,customer_name,channel,warehouse_code,suburb,product,order_quantity,city,unit_price,unit_cost,revenue
0,SO - 000225,2017-01-01,2017-01-13,Dharma Ltd,Wholesale,AXW291,Wanaka,Product 11,6,Queenstown-Lakes,1499.4599999999998,1094.6057999999998,2429.1252
1,SO - 0003378,2017-01-01,2017-01-06,New Ltd,Distributor,AXW291,Cashmere,Product 7,11,Christchurch,1411.0200000000002,761.9508000000001,7139.761200000002
2,SO - 0003901,2017-01-01,2017-01-05,Medline ,Wholesale,AXW291,Chartwell,Product 13,5,Hamilton,1037.16,611.9244,2126.1780000000003
3,SO - 0005126,2017-01-01,2017-01-17,Procter Corp,Wholesale,AXW291,Timaru Central,Product 7,6,Timaru,978.2,684.74,1760.7600000000002
4,SO - 0005614,2017-01-01,2017-01-07,Wuxi Group,Export,AXW291,Te Atatu Peninsula,Product 6,7,Waitakere,1402.98,617.3112,5499.6816
5,SO - 0005781,2017-01-01,2017-01-15,Winthrop ,Wholesale,AXW291,Manurewa East,Product 9,8,Manukau,2818.422,1550.1321000000003,10146.319199999998
6,SO - 0002911,2017-01-02,2017-01-15,AuroMedics Corp,Wholesale,AXW291,Nightcaps,Product 2,6,Southland,965.8720000000001,705.0865600000001,1564.71264
7,SO - 0003527,2017-01-02,2017-01-19,Medsep Group,Wholesale,AXW291,Cashmere,Product 9,11,Christchurch,1701.8,1429.512,2995.168
8,SO - 0004792,2017-01-02,2017-01-13,Linde ,Wholesale,AXW291,Putaruru,Product 11,6,South Waikato,100.5,50.25,301.5
9,SO - 0005414,2017-01-02,2017-01-05,Niconovum Corp,Wholesale,AXW291,Wanaka,Product 7,7,Queenstown-Lakes,1835.8,1413.566,2955.6379999999995
10,SO - 0005609,2017-01-02,2017-01-10,Capweld ,Distributor,AXW291,Parklands,Product 1,7,Christchurch,2379.84,1142.3232,8662.617600000001
11,SO - 0006308,2017-01-02,2017-01-19,Victory Ltd,Wholesale,AXW291,Okitu,Product 1,8,Gisborne,214.4,124.35199999999999,720.3840000000001
12,SO - 0006534,2017-01-02,2017-01-11,U.S. Ltd,Distributor,AXW291,Harewood,Product 2,9,Christchurch,3091.38,2225.7936,7790.277600000001
13,SO - 0007139,2017-01-02,2017-01-09,Nipro ,Wholesale,AXW291,Aramoho,Product 1,6,Wanganui,1451.22,1146.4638000000002,1828.5371999999988
14,SO - 000450,2017-01-03,2017-01-19,Pacific Ltd,Wholesale,AXW291,Matua,Product 7,7,Tauranga,1143.422,960.4744800000001,1280.6326399999996
15,SO - 000848,2017-01-03,2017-01-12,O.E. Ltd,Wholesale,AXW291,Palmerston North,Product 1,9,Palmerston North,1330.6200000000001,958.0464000000001,3353.1624000000006
16,SO - 0001724,2017-01-03,2017-01-19,S.S.S. Group,Wholesale,AXW291,Turangi,Product 9,11,Taupo,664.64,405.4304,2851.3055999999997
17,SO - 0002078,2017-01-03,2017-01-14,Procter Corp,Wholesale,AXW291,Hamilton East,Product 2,5,Hamilton,4919.877,4034.2991399999996,4427.889300000004
18,SO - 0002795,2017-01-03,2017-01-09,Apollo Ltd,Wholesale,AXW291,Te Aroha,Product 5,12,Matamata-Piako,2323.56,1510.314,9758.951999999997
19,SO - 0003775,2017-01-03,2017-01-15,Procter Corp,Distributor,AXW291,Putaruru,Product 2,12,South Waikato,1096.053,635.71074,5524.1071200000015
20,SO - 0004247,2017-01-03,2017-01-14,Linde ,Export,AXW291,Hillsborough,Product 1,6,Auckland,2327.58,1233.6173999999999,6563.775600000001
